arm,observer,salience,social,depth,peak,tail,collapse,captured,sustained,recovered,single_stage_engagement
real_work,53,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,54,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.08333333333333333
real_work,55,0.7,0.5,3,0.6,0.003503090050557789,0.5964969099494422,1,0,0.15198637127256065,0.0
real_work,56,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.08333333333333333
real_work,57,0.7,0.5,3,0.6,5.157255362637193e-05,0.5999484274463736,1,0,0.0947885418010721,0.08333333333333333
real_work,58,0.7,0.5,3,0.6,0.00033368565736032396,0.5996663143426396,1,0,0.11740254257394955,0.08333333333333333
real_work,59,0.7,0.5,3,0.6,3.70792120170618e-09,0.5999999962920788,1,0,0.030043346181601427,0.16666666666666666
real_work,60,0.7,0.5,3,0.6,1.3976253377771268e-06,0.5999986023746622,1,0,0.06184490881205518,0.08333333333333333
real_work,61,0.7,0.5,3,0.6,2.718191091012705e-21,0.6,1,0,0.0009281975509654039,0.08333333333333333
real_work,62,0.7,0.5,3,0.6,1.0929926608924212e-06,0.599998907007339,1,0,0.060044614098971216,0.0
real_work,63,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,64,0.7,0.5,3,0.6,7.340735560617544e-11,0.5999999999265926,1,0,0.018518121190640224,0.0
real_work,65,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,66,0.7,0.5,3,0.6,0.3204059697400675,0.27959403025993246,1,1,0.23656286543827787,0.16666666666666666
real_work,67,0.7,0.5,3,0.6,1.9901931737985176e-06,0.5999980098068262,1,0,0.06452293288403932,0.0
real_work,68,0.7,0.5,3,0.6,1.0282658368529206e-06,0.5999989717341632,1,0,0.0596053754245649,0.08333333333333333
real_work,69,0.7,0.5,3,0.6,9.02009886906031e-05,0.5999097990113094,1,0,0.10112486498901574,0.0
real_work,70,0.7,0.5,3,0.6,5.2610755672400285e-11,0.5999999999473892,1,0,0.017770061995426856,0.08333333333333333
real_work,71,0.7,0.5,3,0.6,2.301855890103149e-07,0.5999997698144109,1,0,0.04974758133511803,0.08333333333333333
real_work,72,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.0
real_work,73,0.7,0.5,3,0.6,1.8855869533873033e-08,0.5999999811441304,1,0,0.036675477728653094,0.0
real_work,74,0.7,0.5,3,0.6,0.6,0.0,1,1,0.5492139264122933,0.4166666666666667
real_work,75,0.7,0.5,3,0.6,2.899746908994796e-06,0.5999971002530909,1,0,0.06749487194687664,0.0
real_work,76,0.7,0.5,3,0.6,3.338849355226408e-06,0.5999966611506448,1,0,0.06864099896634435,0.0
real_work,77,0.7,0.5,3,0.6,1.3602815155438263e-12,0.5999999999986397,1,0,0.011291507646674193,0.0
real_work,78,0.7,0.5,3,0.6,1.0090561437453134e-06,0.5999989909438562,1,0,0.05947030379813878,0.16666666666666666
real_work,79,0.7,0.5,3,0.6,0.0,0.6,1,0,0.0,0.16666666666666666
shock_art,0,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.25
shock_art,1,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,2,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,3,1.0,0.2,1,0.6,1.5215903349867238e-05,0.5999847840966501,1,0,0.08217086913891514,0.0
shock_art,4,1.0,0.2,1,0.6,4.9088510647679746e-15,0.5999999999999951,1,0,0.005606586394943713,0.0
shock_art,5,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,6,1.0,0.2,1,0.6,3.098331615531665e-14,0.599999999999969,1,0,0.007053338130338149,0.0
shock_art,7,1.0,0.2,1,0.6,0.0014701610077996654,0.5985298389922004,1,0,0.1384106889412815,0.25
shock_art,8,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,9,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.3333333333333333
shock_art,10,1.0,0.2,1,0.6,5.8799384752564374e-08,0.5999999412006152,1,0,0.04214126023175857,0.0
shock_art,11,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,12,1.0,0.2,1,0.6,2.2385885141157036e-10,0.5999999997761412,1,0,0.021255942242320858,0.0
shock_art,13,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,14,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,15,1.0,0.2,1,0.6,8.381527385807543e-15,0.5999999999999917,1,0,0.005993154820794766,0.0
shock_art,16,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,17,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,18,1.0,0.2,1,0.6,4.665812729991489e-06,0.59999533418727,1,0,0.07143447807146086,0.0
shock_art,19,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,20,1.0,0.2,1,0.6,1.845380869526504e-12,0.5999999999981546,1,0,0.01172761808982048,0.0
shock_art,21,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.4166666666666667
shock_art,22,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.16666666666666666
shock_art,23,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,24,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,25,1.0,0.2,1,0.6,0.00015933443612922138,0.5998406655638707,1,0,0.10795038887197483,0.0
shock_art,26,1.0,0.2,1,0.6,5.024878034272236e-07,0.5999994975121965,1,0,0.054676430703497036,0.0
shock_art,27,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,28,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,29,1.0,0.2,1,0.6,1.3422152530897494e-11,0.5999999999865778,1,0,0.01500290751329647,0.0
