regime,arm,observer,n_train,evasion,trained_at,evaded,fired,score
co_evolution,human_fast,5,8,0.0,0.0,0,0,-0.36620409622270333
co_evolution,human_fast,6,8,0.0,0.0,0,0,-0.46209812037329695
co_evolution,human_fast,7,8,0.0,0.0,0,0,-0.13515503603605486
co_evolution,human_fast,8,8,0.0,0.0,0,0,-0.6931471805599454
co_evolution,human_fast,9,8,0.0,0.0,0,0,-0.6931471805599454
co_evolution,human_fast,10,8,0.0,0.0,0,0,-0.5972531564093518
co_evolution,human_fast,11,8,0.0,0.0,0,0,-0.8283022165960002
co_evolution,human_fast,12,8,0.0,0.0,0,0,0.0
co_evolution,human_fast,13,8,0.0,0.0,0,0,-0.46209812037329695
co_evolution,human_fast,14,8,0.0,0.0,0,0,-0.5972531564093518
co_evolution,human_fast,15,8,0.0,0.0,0,0,0.0
co_evolution,machine,0,32,0.25,0.25,0,1,2.3978952727983707
co_evolution,machine,1,32,0.25,0.25,0,1,2.543001296550986
co_evolution,machine,2,32,0.25,0.25,0,1,2.8332133440562166
co_evolution,machine,3,32,0.25,0.25,1,0,-1.663477528926246
co_evolution,machine,4,32,0.25,0.25,0,1,1.522604799814774
co_evolution,machine,5,32,0.25,0.25,0,1,0.17687608368739008
co_evolution,machine,6,32,0.25,0.25,0,1,1.2323927523095437
co_evolution,machine,7,32,0.25,0.25,0,1,2.8332133440562166
co_evolution,machine,8,32,0.25,0.25,0,1,2.543001296550986
co_evolution,machine,9,32,0.25,0.25,0,1,2.8332133440562166
co_evolution,machine,10,32,0.25,0.25,0,1,1.4382726283268106
co_evolution,machine,11,32,0.25,0.25,0,1,2.3978952727983707
co_evolution,machine,12,32,0.25,0.25,0,1,1.5126538120982138
co_evolution,machine,13,32,0.25,0.25,0,1,2.8332133440562166
co_evolution,machine,14,32,0.25,0.25,0,1,1.522604799814774
co_evolution,machine,15,32,0.25,0.25,0,1,1.2401721796857064
co_evolution,human_careful,0,32,0.25,0.25,0,0,-0.9162907318741551
