arm,omega,d,n,engaged_fraction,within_observer,between_observer,accuracy,psi_analogue,cum_deep
foreign_content,0.0,0.945128628108705,6000,0.6108690476190476,1.2593759881357804,1.3779524015801874,0.25483333333333336,0.2552519381049796,18.55216666666667
foreign_content,0.05,0.9352460439881725,6000,0.49544047619047615,0.8069523512008728,1.0396933853190617,0.6146666666666667,1.3206706698741535,16.936166666666665
foreign_content,0.1,0.9241553724273217,6000,0.40660714285714283,0.4217477942801058,0.5936108370865408,0.8313333333333334,2.231972603712786,15.6925
foreign_content,0.2,0.8977847068222218,6000,0.14736904761904762,0.2517596006519345,0.24371578205939207,0.9396666666666667,2.640443390879558,12.063166666666667
foreign_content,0.4,0.8228425661250185,6000,0.014488095238095236,0.1805932537261689,0.11168026959498016,0.9763333333333334,2.801614988026111,10.202833333333333
foreign_content,0.7,0.612035586751972,6000,0.0003928571428571428,0.03765799294239234,0.019495748704976775,0.9966666666666667,3.1544878757389543,10.0055
unskilled_reader,0.0,0.945128628108705,6000,0.001130952380952381,0.6633644808723231,1.3102976964998732,0.4185,1.6607751799854071,10.015833333333333
unskilled_reader,0.05,0.9352460439881725,6000,0.000738095238095238,0.6411525095399007,1.2817093377927522,0.4538333333333333,1.7005817409119681,10.010333333333334
unskilled_reader,0.1,0.9241553724273217,6000,0.0009642857142857141,0.6349743582630872,1.2386653752553443,0.49733333333333335,1.717983673401401,10.0135
unskilled_reader,0.2,0.8977847068222218,6000,0.00125,0.5973629168030623,1.1113011436661144,0.5958333333333333,1.8108500579211364,10.0175
unskilled_reader,0.4,0.8228425661250185,6000,0.0005595238095238096,0.3836685960872502,0.5973272518079423,0.844,2.3243163464395553,10.007833333333334
unskilled_reader,0.7,0.612035586751972,6000,5.952380952380952e-05,0.030235660536749535,0.018918628846213658,0.9968333333333333,3.1603848959479826,10.000833333333333
