arm,seed_rep,generation,kl_payload,creator_col_kl,eff_sample_count,mean_deep_genuine,c_entropy,mi_genuine
free,0,0,0.06048857713127319,0.3651956616642709,470.15224082218845,1.8828,1.3697509982271259,0.8611226818433453
free,0,1,0.1426889620886398,0.5862521141210483,491.5474421000555,1.9682,1.372196244581902,0.7370236579830113
free,0,2,0.09877709671966403,0.5666012980435351,560.8566477696746,2.2451999999999996,1.3820047208027,0.6590057545828977
free,0,3,0.08944793319794025,0.5784612518849667,570.1638302498774,2.2824,1.3645873853398032,0.6386377309360064
free,0,4,0.1027331392089312,0.5148744723413353,581.4705444939466,2.3276,1.376859660440683,0.6102531931842983
free,0,5,0.1562366634621121,0.5881541592215761,609.2841269626239,2.439,1.3787967475892964,0.542860248764109
free,1,0,0.07550800467025974,0.42207091674785124,489.456890529122,1.9602,1.3785850704368525,0.8347263071954408
free,1,1,0.07770361795601141,0.5657099083849424,587.3334457468363,2.3514,1.3798161027067848,0.6347311562573132
free,1,2,0.12574196129705817,0.5779242728852692,598.658457425505,2.3961999999999994,1.3831832124262378,0.594112949340899
free,1,3,0.11369253335887122,0.5671275464573275,651.3100955770278,2.6068,1.3711626592011075,0.526295404249548
free,1,4,0.11595997997788901,0.6877404293843022,660.0396493454895,2.6424,1.3776921575358876,0.47440102184104377
free,1,5,0.137384998041805,0.781472073093781,663.5657833784546,2.6559999999999997,1.3816949637258675,0.462276425221871
free,2,0,0.04996738647023813,0.4008607709860354,483.07176536185705,1.934,1.3593952665344027,0.8641345666855009
free,2,1,0.08795176472474367,0.484311810621204,483.03095838966874,1.934,1.379654699887938,0.8111040090476351
free,2,2,0.05702372619084932,0.5794671527532236,574.479905434323,2.3,1.3751486886290856,0.6415002687876905
free,2,3,0.12110919126176255,0.6462398576921338,590.4778837714802,2.3635999999999995,1.3832923091781306,0.607140268484462
free,2,4,0.05823850672180772,0.6010430141835654,630.5201266899073,2.5236,1.3715195748214026,0.5294980440755934
free,2,5,0.09797911643724239,0.7294716652448971,603.5793110868057,2.416,1.379536336724148,0.525948010313336
forced,0,0,0.0015557605296324748,0.022428668753771835,1499.6319123490025,6.0,1.2934318666203661,1.0302388437960226
forced,0,1,0.004282822545853153,0.1421092398566009,1499.6326383579706,6.0,1.3129777494868087,0.9247492836922152
forced,0,2,0.030271662583507206,0.2000651828936319,1499.6222072064381,6.0,1.3552659485784884,0.8847945953425747
forced,0,3,0.043133929719203476,0.24233458421877604,1499.6439826395138,6.0,1.3609662269815992,0.8591637579193712
forced,0,4,0.06540756844828449,0.27203504337978046,1499.6519901933884,6.0,1.3711747934972385,0.8377025391649602
forced,0,5,0.08506274805731476,0.30578665672394356,1499.6072879862631,6.0,1.3769517689501596,0.7833950383333084
forced,1,0,0.010443932585405422,0.18871470007753263,1499.5824055349678,6.0,1.3312099781076185,0.9070628213093401
forced,1,1,0.03503265845184181,0.3005954914294681,1499.6218995348067,6.0,1.3559149986384373,0.8797238372355084
forced,1,2,0.05877182645117303,0.32300041383040257,1499.6849050926667,6.0,1.370121272753663,0.8497345009966347
forced,1,3,0.053928016930634426,0.3423072859879167,1499.694677437415,6.0,1.3669789974420306,0.8518568180626115
forced,1,4,0.05896554460068068,0.39581536643175025,1499.575865274614,6.0,1.3623039475587717,0.8519648402785849
forced,1,5,0.0741039173801923,0.44337528071807936,1499.650057936586,6.0,1.372358924734373,0.8177939382076719
forced,2,0,0.000723807071025327,0.055563216725491596,1499.670861136829,6.0,1.2667227749065892,0.9688261879913043
forced,2,1,0.02000507278746297,0.22962774072395112,1499.6096832397175,6.0,1.3353828302572874,0.8822252818132459
forced,2,2,0.027955478689943636,0.34272096870117236,1499.582888411158,6.0,1.3445359941815838,0.8552224155840475
forced,2,3,0.06741361337472443,0.3915919556696901,1499.616124104586,6.0,1.37213267012129,0.831601016816663
forced,2,4,0.09050169384323728,0.36095613396977355,1499.6533832747357,6.0,1.372409207515261,0.793609308698163
forced,2,5,0.08478951177915131,0.4273384625455609,1499.6937925211248,6.0,1.37383259550851,0.7255902170157754
