arm,content,declared_signal,n,within_observer,within_observer_sd,between_observer,between_observer_sd,engaged_fraction,engaged_fraction_sd,accuracy
A_active_inference,goal_empty,SIG_CREATOR,4000,0.11079786554522392,0.08932202502694468,1.3790311654511744,0.004207300097556936,0.05060714285714286,0.10336312211986359,
B_bayesian_always_deep,goal_empty,SIG_CREATOR,4000,0.21208238704255472,0.3086217321115343,1.3803362237870194,0.005259663853324598,1.0,0.0,
C_label_truster,goal_empty,SIG_CREATOR,4000,1.367209920775344,0.01274312807014887,1.379130063778978,0.004005265061088284,1.0,0.0,
D_effort_heuristic@0.01,goal_empty,SIG_CREATOR,4000,1.367209920775344,0.01274312807014887,1.379130063778978,0.004005265061088284,1.0,0.0,
D_effort_heuristic@0.02,goal_empty,SIG_CREATOR,4000,1.367209920775344,0.01274312807014887,1.379130063778978,0.004005265061088284,1.0,0.0,
D_effort_heuristic@0.05,goal_empty,SIG_CREATOR,4000,1.367209920775344,0.01274312807014887,1.379130063778978,0.004005265061088284,0.7601785714285715,0.06592770958582597,
D_effort_heuristic@0.1,goal_empty,SIG_CREATOR,4000,1.367209920775344,0.01274312807014887,1.379130063778978,0.004005265061088284,0.1031428571428571,0.03549401583889495,
D_effort_heuristic@0.2,goal_empty,SIG_CREATOR,4000,1.367209920775344,0.01274312807014887,1.379130063778978,0.004005265061088284,0.0714285714285714,2.775904571323773e-17,
D_effort_heuristic@0.4,goal_empty,SIG_CREATOR,4000,1.367209920775344,0.01274312807014887,1.379130063778978,0.004005265061088284,0.0714285714285714,2.775904571323773e-17,
E_no_tom_classifier@0.6,goal_empty,SIG_CREATOR,4000,0.32424404994215444,0.27888276015811175,1.3792197158888464,0.004961482529153247,0.01544642857142857,0.048765497961233154,
E_no_tom_classifier@0.8,goal_empty,SIG_CREATOR,4000,0.2301146622594992,0.18542244979814462,1.3786121477949613,0.0058472945459585824,0.05726785714285714,0.1178815525471397,
E_no_tom_classifier@0.95,goal_empty,SIG_CREATOR,4000,0.11649709173690269,0.1462523641831846,1.3800972358383583,0.003807895200119426,0.22107142857142856,0.2966934128609947,
E_no_tom_classifier@0.99,goal_empty,SIG_CREATOR,4000,0.1347303876743484,0.2467992247394959,1.380448039870409,0.005180131879922977,0.441,0.398098090814604,
A_active_inference,goal_empty,SIG_GHOST,4000,1.3358042975079616,0.043819192244695285,1.378896295350629,0.004906928420793972,0.0,0.0,
B_bayesian_always_deep,goal_empty,SIG_GHOST,4000,1.2955954465817359,0.07677846170866229,1.37683514490744,0.007504121565708358,1.0,0.0,
C_label_truster,goal_empty,SIG_GHOST,4000,1.3669886617093425,0.013180660082939905,1.3789356518740274,0.005037261763794567,0.0,0.0,
D_effort_heuristic@0.01,goal_empty,SIG_GHOST,4000,1.3669886617093425,0.013180660082939905,1.3789356518740274,0.005037261763794567,1.0,0.0,
D_effort_heuristic@0.02,goal_empty,SIG_GHOST,4000,1.3669886617093425,0.013180660082939905,1.3789356518740274,0.005037261763794567,1.0,0.0,
D_effort_heuristic@0.05,goal_empty,SIG_GHOST,4000,1.3669886617093425,0.013180660082939905,1.3789356518740274,0.005037261763794567,0.759875,0.06480318360619569,
D_effort_heuristic@0.1,goal_empty,SIG_GHOST,4000,1.3669886617093425,0.013180660082939905,1.3789356518740274,0.005037261763794567,0.10317857142857138,0.0354980234699724,
D_effort_heuristic@0.2,goal_empty,SIG_GHOST,4000,1.3669886617093425,0.013180660082939905,1.3789356518740274,0.005037261763794567,0.0714285714285714,2.775904571323773e-17,
D_effort_heuristic@0.4,goal_empty,SIG_GHOST,4000,1.3669886617093425,0.013180660082939905,1.3789356518740274,0.005037261763794567,0.0714285714285714,2.775904571323773e-17,
E_no_tom_classifier@0.6,goal_empty,SIG_GHOST,4000,0.32622180038544996,0.28195974764836046,1.3781125356292965,0.004924401067151855,0.01476785714285714,0.04458435240513372,
E_no_tom_classifier@0.8,goal_empty,SIG_GHOST,4000,0.2298579280632045,0.18783017842956237,1.3791193011957665,0.004447877387363306,0.05848214285714286,0.11845273661326775,
