arm,favoured_k,contamination,kl_naive,kl_naive_sd,kl_recovered,bound,synth_lean,naive_regret,naive_argmax,weighted_regret
biased,0,0.0,0.000767121311047742,0.0003572207372117537,0.0008841750654380234,-3.9999226153601766e-12,0.9516310506386029,1.0980499266579065,1.0,1.2509422102944272
biased,0,0.2,0.004233372947984855,0.0023791193273869334,0.0011959254165786165,0.029320512888574714,0.9516310506386029,0.7749541134891076,1.0,1.2203073945400307
biased,0,0.4,0.01344545482228053,0.005562783700657145,0.0013484180629585892,0.1169050981581141,0.9516310506386029,0.6688776151689629,1.0,1.1034313581419313
biased,0,0.6,0.027785988198880705,0.008561778080459152,0.002352652936804846,0.2678991778381227,0.9516310506386029,0.9757409321041032,1.0,1.306076686467375
biased,0,0.8,0.04576183307191406,0.009958541015674852,0.0030390071178718714,0.5007099276256659,0.9516310506386029,1.5429954508483321,1.0,1.4049658712482949
biased,1,0.0,0.002444155433942343,0.0018827142995129925,0.013072715660922276,-3.9999226153601766e-12,0.9571211475764382,0.582679147628681,1.0,0.31684167937636876
biased,1,0.2,0.006927401098098034,0.0017942854957058683,0.009561148606894656,0.04355620225286258,0.9571211475764382,3.8637035857725723,0.7777777777777778,0.3502049564227359
biased,1,0.4,0.031479350191920955,0.012186057565659743,0.0052190436376296934,0.1678157027674238,0.9571211475764382,7.877882639328176,0.2222222222222222,0.4007648852747841
biased,1,0.6,0.07529077377652721,0.031706356655928594,0.004140306219470801,0.37377608596644457,0.9571211475764382,9.355813839990702,0.037037037037037035,1.2727157530332958
biased,1,0.8,0.13741710104270988,0.06273532775563455,0.02247699534955596,0.6803876188043222,0.9571211475764382,9.971777426543326,0.0,5.646682109108428
biased,2,0.0,0.0007903852916056436,0.0004775562376241621,0.0009485092582085147,-3.9999226153601766e-12,0.9634827409194409,1.0203089979217619,1.0,1.009905728759019
biased,2,0.2,0.007862324515257594,0.00279379807479161,0.0012380517465522837,0.06879132651946872,0.9634827409194409,1.4573803536834642,1.0,0.9919407315064622
biased,2,0.4,0.02813223464885158,0.005365455535810112,0.0014812011690887661,0.2516696520021913,0.9634827409194409,3.7632758889515543,1.0,0.8986568831537186
biased,2,0.6,0.060672366966158936,0.01128219617173975,0.002152292118455023,0.5389542592987089,0.9634827409194409,10.18327599307721,0.5555555555555556,1.0932853516015164
biased,2,0.8,0.10155268320820315,0.023850990076143854,0.00247981194982225,0.9479609352487753,0.9634827409194409,15.2664764393464,0.2222222222222222,1.2256389274484558
biased,3,0.0,0.0007291830112038648,0.00040694216298823574,0.0007631160409268386,-3.9999226153601766e-12,0.9586446444924583,1.0211549711294434,1.0,1.021512841751858
biased,3,0.2,0.01854913765508777,0.006916741234180335,0.0010687662918146931,0.12763007985929342,0.9586446444924583,1.888457147508954,1.0,1.020142227326301
biased,3,0.4,0.06411438854078576,0.021557379055670907,0.001263283342660573,0.4261400627676878,0.9586446444924583,4.576329469821733,1.0,0.9501933773090867
biased,3,0.6,0.12958291917765805,0.04227873727578628,0.00224341367012135,0.8581660503517049,0.9586446444924583,14.643871360335917,0.3333333333333333,1.222094562081232
biased,3,0.8,0.2103101120822568,0.07137773803281772,0.0038480151122916445,1.435691182254632,0.9586446444924583,23.243956296407593,0.1111111111111111,1.622430253367313
symmetric,-1,0.0,0.0007471001113027612,0.0004140764804966229,0.0007392736430379971,-3.9999226153601766e-12,0.25,1.018394102582896,1.0,1.0120884603786746
symmetric,-1,0.2,0.006960424081166448,0.002377301451611376,0.0010494545722941895,0.029320512888574714,0.25,1.4755059811568767,1.0,1.0146350194798173
symmetric,-1,0.4,0.023560504171259992,0.00398394392341796,0.0012909064388307448,0.1169050981581141,0.25,2.1939299686080567,1.0,0.9494206739344649
symmetric,-1,0.6,0.0504238617496255,0.004148557694224932,0.0028713756455320226,0.2678991778381227,0.25,4.325266039142302,1.0,1.2170678892667448
symmetric,-1,0.8,0.08263664519782292,0.0025710916310883597,0.007314349647962726,0.5007099276256659,0.25,8.386766678873666,1.0,1.6801322159048
