label,reader,drift,accuracy_on_genuine
none,0,0.131225999954027,1.0
none,1,0.40201079207108553,1.0
none,2,0.18564284945081888,1.0
none,3,0.33617064089522253,1.0
none,4,0.29532935575156144,1.0
none,5,0.2639147079154397,1.0
none,6,0.3184144265247854,1.0
none,7,0.3171537592231829,1.0
none,8,0.26101176517617275,1.0
none,9,0.12797131869110626,1.0
none,10,0.2716904845949139,1.0
none,11,0.6045302543045645,1.0
none,12,0.306656976847073,1.0
none,13,0.320340971936771,1.0
none,14,0.3304276716277167,1.0
none,15,0.058748302338286845,1.0
none,16,0.2509358302553446,1.0
none,17,0.05070003160827819,1.0
none,18,0.0978453499874342,1.0
none,19,0.08407830995201795,1.0
none,20,0.16777299169447643,1.0
none,21,0.3033517535762408,1.0
none,22,0.2303197934098612,1.0
none,23,0.10577803481527084,1.0
do_not_read,0,0.2559117153907998,1.0
do_not_read,1,0.2796421410266605,1.0
do_not_read,2,0.2589689754049835,1.0
do_not_read,3,0.4268663624221516,1.0
do_not_read,4,0.2466095437846661,1.0
do_not_read,5,0.13664688790392315,1.0
do_not_read,6,0.27309058790039603,1.0
do_not_read,7,0.35972784206145625,1.0
do_not_read,8,0.4524199042777633,1.0
do_not_read,9,0.05847491357278565,1.0
do_not_read,10,0.4107097069652855,1.0
do_not_read,11,0.585758786650092,1.0
do_not_read,12,0.23351176049864042,1.0
do_not_read,13,0.27008972005965115,1.0
do_not_read,14,0.3095385903092578,1.0
do_not_read,15,0.12160718588280633,1.0
do_not_read,16,0.2945470631288618,1.0
do_not_read,17,0.08512455003592008,1.0
do_not_read,18,0.23851471092579057,1.0
do_not_read,19,0.04578153849942945,1.0
do_not_read,20,0.14742443426862648,1.0
do_not_read,21,0.4388548743668622,1.0
do_not_read,22,0.3464838716088776,1.0
do_not_read,23,0.2680930821093368,1.0
read_differently,0,0.13390319679025403,1.0
read_differently,1,0.40164182638544343,1.0
read_differently,2,0.1737929248029959,1.0
read_differently,3,0.33263936368059005,1.0
read_differently,4,0.2668607441660002,1.0
read_differently,5,0.21727811814126413,1.0
read_differently,6,0.3291288430619643,1.0
read_differently,7,0.35044412439604816,1.0
read_differently,8,0.2654731058694847,1.0
read_differently,9,0.12403881576116316,1.0
read_differently,10,0.3240546065343263,1.0
read_differently,11,0.6593140132055049,1.0
read_differently,12,0.32192689553816844,1.0
read_differently,13,0.3223205817243879,1.0
read_differently,14,0.35606521158391113,1.0
read_differently,15,0.04854356379515414,1.0
read_differently,16,0.2805462517012347,1.0
read_differently,17,0.05758840607472704,1.0
read_differently,18,0.11744842009786102,1.0
read_differently,19,0.07198412496695436,1.0
read_differently,20,0.18250006122637374,1.0
read_differently,21,0.2745291761751034,1.0
read_differently,22,0.2512246962393023,1.0
read_differently,23,0.11526063005428762,1.0
